GeneName,R_033_C_Pp_yr2,R_036_C_Pp_yr2,R_045_C_Pp_yr2,R_048_C_Pp_yr2,R_049_La_Pp_yr2,R_051_C_Pp_yr2,R_052_La_Pp_yr2,R_054_C_Pp_yr2,R_057_C_Pp_yr2,R_058_La_Pp_yr2
GCKDGN101A5ZON_Ppor,40,0,2,6,1,0,0,0,3,2
GCKDGN101A60E3_Ppor,0,0,0,0,0,0,0,2,0,0
GCKDGN101A60F2_Ppor,0,0,3,0,1,0,0,1,0,0
GCKDGN101A63TD_Ppor,0,0,0,0,0,0,1,0,3,2
GCKDGN101A640O_Ppor,0,0,6,1,0,0,0,1,4,2
GCKDGN101A642G_Ppor,0,0,6,4,2,0,2,1,8,6
GCKDGN101A65J4_Ppor,7,0,0,0,0,0,0,0,1,0
GCKDGN101A67QA_Ppor,28,0,13,7,1,0,4,10,29,3
GCKDGN101A68P2_Ppor,0,0,0,0,0,0,0,1,0,1
GCKDGN101A69YR_Ppor,0,0,0,0,0,0,0,0,2,0
GCKDGN101A6A53_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A6AIK_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A6APY_Ppor,0,0,0,3,0,0,0,3,6,2
GCKDGN101A6D55_Ppor,0,0,10,6,5,0,5,4,14,5
GCKDGN101A6DFF_Ppor,0,0,2,1,1,0,2,2,4,1
GCKDGN101A6FH4_Ppor,0,0,3,2,0,0,0,0,0,0
GCKDGN101A6HZZ_Ppor,0,0,3,3,0,0,0,4,4,0
GCKDGN101A6I2B_Ppor,0,0,0,1,0,0,0,0,0,2
GCKDGN101A6IUP_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A6JM5_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A6KIZ_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A6KTM_Ppor,0,0,0,1,0,0,0,2,1,3
GCKDGN101A6KXV_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A6L12_Ppor,0,0,6,4,1,0,0,4,11,2
GCKDGN101A6N29_Ppor,2,0,1,1,0,0,0,3,3,0
GCKDGN101A6QFQ_Ppor,0,0,1,0,0,0,1,1,3,0
GCKDGN101A6R0Y_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A6RZZ_Ppor,0,0,6,3,1,0,0,0,2,0
GCKDGN101A6TK0_Ppor,0,0,9,1,0,0,0,1,5,1
GCKDGN101A6UZD_Ppor,0,0,0,0,0,0,0,0,0,2
GCKDGN101A6W27_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A6YC9_Ppor,0,0,0,2,0,0,0,3,3,1
GCKDGN101A6YHL_Ppor,0,0,3,1,0,0,0,0,0,2
GCKDGN101A6YL2_Ppor,0,0,9,4,0,0,1,1,6,0
GCKDGN101A70HE_Ppor,0,0,2,2,0,0,0,3,4,0
GCKDGN101A7126_Ppor,0,0,10,0,0,0,0,0,3,0
